                                                                            Episode  Line  Dialogue  Action
Character                                                                                                  
                                                                            1965     1965  1965      1965  
marauder #1                                                                 1        1     1         1     
marauder #2                                                                 1        1     1         1     
marauders                                                                   6        6     6         6     
marc                                                                        1        1     1         1     
marcelince                                                                  1        1     1         1     
marceline                                                                   547      547   547       547   
marceline and ghosts                                                        1        1     1         1     
marceline's mom                                                             4        4     4         4     
marcy                                                                       42       42    42        42    
margaret                                                                    25       25    25        25    
marhsall lee                                                                1        1     1         1     
maria                                                                       2        2     2         2     
marquis of nuts                                                             3        3     3         3     
marshall lee                                                                25       25    25        25    
marshmallow                                                                 1        1     1         1     
marshmallow kid                                                             3        3     3         3     
marshmallow kid 1                                                           1        1     1         1     
marshmallow kids                                                            1        1     1         1     
martin                                                                      94       94    94        94    
matthew                                                                     13       13    13        13    
mayor                                                                       7        7     7         7     
me-mow                                                                      44       44    44        44    
melissa                                                                     9        9     9         9     
messenger                                                                   6        6     6         6     
middle penguin                                                              1        1     1         1     
mildwin                                                                     6        6     6         6     
mini-snowman                                                                1        1     1         1     
minstrel                                                                    1        1     1         1     
mo                                                                          27       27    27        27    
mo (os)                                                                     1        1     1         1     
moe                                                                         16       16    16        16    
moldo                                                                       6        6     6         6     
moldos                                                                      2        2     2         2     
mom                                                                         6        6     6         6     
momma bear                                                                  6        6     6         6     
momma bird [in finn's thoughts]                                             1        1     1         1     
monster                                                                     6        6     6         6     
monster ghost                                                               6        6     6         6     
monty                                                                       8        8     8         8     
morrow                                                                      1        1     1         1     
morty rogers                                                                27       27    27        27    
mos                                                                         1        1     1         1     
mother                                                                      5        5     5         5     
mother rabbit                                                               1        1     1         1     
mountain 2                                                                  2        2     2         2     
mountain man                                                                17       17    17        17    
mouse knight                                                                3        3     3         3     
mouse thief                                                                 3        3     3         3     
mouse wizard                                                                4        4     4         4     
mr fox                                                                      1        1     1         1     
mr pig                                                                      8        8     8         8     
mr. b                                                                       1        1     1         1     
mr. candy cane                                                              4        4     4         4     
mr. cupcake                                                                 20       20    20        20    
mr. fox                                                                     18       18    18        18    
mr. goose                                                                   3        3     3         3     
mr. pig                                                                     37       37    37        37    
mr. pig & tree trunks                                                       2        2     2         2     
mr. pig and tree trunks                                                     1        1     1         1     
mr. pig's relative                                                          2        2     2         2     
mr. x                                                                       1        1     1         1     
mrs. gumdrop                                                                1        1     1         1     
mrs. james                                                                  1        1     1         1     
mrs. yoder                                                                  2        2     2         2     
mudscamp                                                                    4        4     4         4     
muscle princess                                                             11       11    11        11    
muscular ghost 1                                                            2        2     2         2     
muscular ghost 2                                                            1        1     1         1     
muscular ghost 3                                                            2        2     2         2     
mushroom creatures                                                          2        2     2         2     
mushroom mayor                                                              2        2     2         2     
music hole                                                                  1        1     1         1     
mustache                                                                    4        4     4         4     
mustache [davey]                                                            1        1     1         1     
naked wizard                                                                2        2     2         2     
narrator                                                                    6026     6026  6026      6026  
neptr                                                                       95       95    95        95    
nightosphere jailer                                                         11       11    11        11    
normal man                                                                  8        8     8         8     
nurse pound cake                                                            10       10    10        10    
nymph                                                                       5        5     5         5     
nymphs                                                                      1        1     1         1     
oculus                                                                      1        1     1         1     
off screen                                                                  1        1     1         1     
ogdoad                                                                      8        8     8         8     
ogre                                                                        9        9     9         9     
old guy                                                                     1        1     1         1     
old lady                                                                    14       14    14        14    
old lady in eye                                                             3        3     3         3     
old lady princess                                                           7        7     7         7     
old man henchman                                                            5        5     5         5     
old man prismo                                                              3        3     3         3     
old man prisoner                                                            2        2     2         2     
old pizza person                                                            2        2     2         2     
old wizard                                                                  5        5     5         5     
older bear                                                                  2        2     2         2     
older brother                                                               2        2     2         2     
one balloon                                                                 2        2     2         2     
one goblin                                                                  1        1     1         1     
one goblin around the sink                                                  1        1     1         1     
one knight                                                                  2        2     2         2     
one of the villagers                                                        1        1     1         1     
one-eyed koala                                                              2        2     2         2     
one-eyed koala (offscreen)                                                  1        1     1         1     
orange bmo                                                                  1        1     1         1     
orange lemon child                                                          1        1     1         1     
orb                                                                         2        2     2         2     
orgalorg                                                                    14       14    14        14    
other bear                                                                  1        1     1         1     
other bee people                                                            1        1     1         1     
other gnomes                                                                1        1     1         1     
other heads                                                                 1        1     1         1     
other pagelings                                                             1        1     1         1     
other performer                                                             2        2     2         2     
owl                                                                         5        5     5         5     
pagelings                                                                   8        8     8         8     
pajamas                                                                     3        3     3         3     
pan                                                                         7        7     7         7     
pants                                                                       1        1     1         1     
paper pete                                                                  24       24    24        24    
party bear                                                                  1        1     1         1     
party god                                                                   27       27    27        27    
party pat                                                                   16       16    16        16    
past finn                                                                   5        5     5         5     
past jake                                                                   1        1     1         1     
past prismo                                                                 2        2     2         2     
pat                                                                         2        2     2         2     
pat mchale                                                                  2        2     2         2     
patron                                                                      1        1     1         1     
pb                                                                          1        1     1         1     
peace master                                                                31       31    31        31    
peace master's daughter                                                     3        3     3         3     
peace master's son                                                          5        5     5         5     
peanut child                                                                2        2     2         2     
peanut princess                                                             3        3     3         3     
penny                                                                       28       28    28        28    
people                                                                      1        1     1         1     
people from both sides                                                      1        1     1         1     
people offscreen                                                            1        1     1         1     
peppermint butler                                                           131      131   131       131   
peppermint butler's mouth                                                   1        1     1         1     
person                                                                      3        3     3         3     
person & jake                                                               1        1     1         1     
person and jake                                                             1        1     1         1     
pete sassafras                                                              6        6     6         6     
petey                                                                       3        3     3         3     
phil                                                                        3        3     3         3     
phlannel boxingday                                                          20       20    20        20    
pictured jake                                                               1        1     1         1     
pincer beetle                                                               1        1     1         1     
pirate                                                                      2        2     2         2     
plop-top                                                                    1        1     1         1     
porcupine                                                                   6        6     6         6     
president porpoise                                                          1        1     1         1     
primo                                                                       2        2     2         2     
prince gumball                                                              44       44    44        44    
prince huge                                                                 3        3     3         3     
princes bubblegum                                                           2        2     2         2     
princess                                                                    1        1     1         1     
princess and lady                                                           1        1     1         1     
princess beautiful                                                          3        3     3         3     
princess bubblegum                                                          1212     1212  1212      1212  
princess bubblegum [finn's mind]                                            2        2     2         2     
princess bubblegum [hologram]                                               4        4     4         4     
princess bubblegum [in finn's mind]                                         1        1     1         1     
princess bubblegum [in real world]                                          1        1     1         1     
princess bubblegum [in video]                                               1        1     1         1     
princess bubblegum [voice-over]                                             2        2     2         2     
princess bubblegum bot                                                      5        5     5         5     
princess bubblegum's hand                                                   1        1     1         1     
princess bubblegum's voice [in finn's head]                                 2        2     2         2     
princess bubblegum, finn & jake                                             1        1     1         1     
princess bubblegum, jake, and finn                                          1        1     1         1     
princess bubblegums                                                         1        1     1         1     
princess bubblegun                                                          1        1     1         1     
princess bubblgum                                                           1        1     1         1     
princess monster wife                                                       17       17    17        17    
princess monster wife's spirit                                              1        1     1         1     
princess princess princess                                                  2        2     2         2     
princess zip                                                                1        1     1         1     
princesses                                                                  4        4     4         4     
priscus                                                                     1        1     1         1     
prismo                                                                      97       97    97        97    
prismo & cosmic owl                                                         1        1     1         1     
prismo & jake                                                               2        2     2         2     
private                                                                     3        3     3         3     
prize ball guardian                                                         1        1     1         1     
professor worm                                                              7        7     7         7     
punch bowl                                                                  1        1     1         1     
puppy jake                                                                  1        1     1         1     
pups                                                                        2        2     2         2     
purple bmo                                                                  1        1     1         1     
queen                                                                       1        1     1         1     
quilton                                                                     13       13    13        13    
rabbit hyooman                                                              1        1     1         1     
raccoon                                                                     14       14    14        14    
rag wizard                                                                  13       13    13        13    
raggedy princess                                                            8        8     8         8     
rainy                                                                       1        1     1         1     
random candy person                                                         1        1     1         1     
randy                                                                       16       16    16        16    
rap bear                                                                    4        4     4         4     
rasheeta                                                                    6        6     6         6     
rat king                                                                    6        6     6         6     
rattleballs                                                                 28       28    28        28    
reaper                                                                      5        5     5         5     
receptor                                                                    2        2     2         2     
red bmo                                                                     1        1     1         1     
red gnome                                                                   6        6     6         6     
red gumball/candy child                                                     1        1     1         1     
red snake                                                                   10       10    10        10    
red-tie businessman                                                         19       19    19        19    
rest of group                                                               1        1     1         1     
restaurant customers                                                        1        1     1         1     
revived prismo                                                              7        7     7         7     
revived zombie                                                              1        1     1         1     
ricardio                                                                    37       37    37        37    
riddle master                                                               5        5     5         5     
ringmaster                                                                  15       15    15        15    
robotic voice                                                               1        1     1         1     
rock                                                                        1        1     1         1     
rock man                                                                    1        1     1         1     
rock nurse                                                                  1        1     1         1     
rock wizard                                                                 2        2     2         2     
rock woodsman                                                               2        2     2         2     
ron james                                                                   20       20    20        20    
root beer guy                                                               39       39    39        39    
root beer guy's boss                                                        1        1     1         1     
rose                                                                        1        1     1         1     
roselinen                                                                   14       14    14        14    
royal speech-taker                                                          1        1     1         1     
royal tart toter                                                            2        2     2         2     
rutuba                                                                      2        2     2         2     
samantha                                                                    10       10    10        10    
scientist                                                                   6        6     6         6     
scientists                                                                  2        2     2         2     
scorpion                                                                    3        3     3         3     
second peppermint head                                                      1        1     1         1     
seven                                                                       1        1     1         1     
shadow horse                                                                1        1     1         1     
sharon                                                                      2        2     2         2     
shelby                                                                      54       54    54        54    
sheriff                                                                     1        1     1         1     
shermy                                                                      36       36    36        36    
shoko                                                                       31       31    31        31    
shop owner                                                                  1        1     1         1     
short-haired nymph                                                          2        2     2         2     
simon                                                                       114      114   114       114   
simon (over telephone)                                                      1        1     1         1     
simon [on tape]                                                             2        2     2         2     
simon petrikov                                                              1        1     1         1     
simon/marcy                                                                 2        2     2         2     
sir slicer                                                                  13       13    13        13    
skeleton                                                                    4        4     4         4     
skeleton guy (lester)                                                       1        1     1         1     
skeleton princess                                                           1        1     1         1     
skull                                                                       3        3     3         3     
sleepy sam                                                                  5        5     5         5     
slime people                                                                7        7     7         7     
slime princess                                                              57       57    57        57    
slimy d                                                                     1        1     1         1     
slug lady                                                                   1        1     1         1     
small demon                                                                 3        3     3         3     
small koala                                                                 2        2     2         2     
smaller king worm                                                           1        1     1         1     
smudge                                                                      1        1     1         1     
snail [the lich]                                                            1        1     1         1     
snapdragon                                                                  1        1     1         1     
snorlock                                                                    39       39    39        39    
snow golem                                                                  15       15    15        15    
snow monster                                                                1        1     1         1     
snowball                                                                    2        2     2         2     
snowman priest                                                              2        2     2         2     
someone off screen                                                          1        1     1         1     
space angel princess                                                        1        1     1         1     
speaker                                                                     1        1     1         1     
spear skeleton                                                              2        2     2         2     
spiky guard                                                                 1        1     1         1     
spiky guards                                                                1        1     1         1     
spiky mayor                                                                 10       10    10        10    
spiky people                                                                1        1     1         1     
spiky person                                                                1        1     1         1     
squeeze-e-mart boss                                                         1        1     1         1     
squid bartender                                                             1        1     1         1     
squirrel                                                                    28       28    28        28    
squirrels                                                                   1        1     1         1     
star man                                                                    7        7     7         7     
starchie                                                                    43       43    43        43    
starchie (on radio)                                                         1        1     1         1     
starchy                                                                     49       49    49        49    
stonesy                                                                     2        2     2         2     
stranger                                                                    3        3     3         3     
stranger's voice                                                            1        1     1         1     
stranson doughblow                                                          2        2     2         2     
strawberry guard                                                            10       10    10        10    
strongman                                                                   4        4     4         4     
strudel princess                                                            3        3     3         3     
sub-conscious mr. fox                                                       1        1     1         1     
sue                                                                         2        2     2         2     
sugar cube                                                                  2        2     2         2     
suitor #1                                                                   1        1     1         1     
suitor #2                                                                   1        1     1         1     
suitor #3                                                                   1        1     1         1     
sun                                                                         1        1     1         1     
suspect                                                                     2        2     2         2     
suzy                                                                        2        2     2         2     
suzy & sue                                                                  3        3     3         3     
swamp giant                                                                 7        7     7         7     
swan                                                                        1        1     1         1     
sweet p                                                                     54       54    54        54    
t.v.                                                                        16       16    16        16    
taddle                                                                      2        2     2         2     
taddle and grimby                                                           1        1     1         1     
tadpole                                                                     1        1     1         1     
tea robot                                                                   1        1     1         1     
teenage bear                                                                4        4     4         4     
teenage marceline                                                           1        1     1         1     
teller                                                                      1        1     1         1     
the animal                                                                  5        5     5         5     
the beast                                                                   3        3     3         3     
the dead one                                                                1        1     1         1     
the farm                                                                    5        5     5         5     
the four jameses                                                            1        1     1         1     
the hierophant                                                              4        4     4         4     
the lich                                                                    16       16    16        16    
the mom                                                                     2        2     2         2     
the morrow                                                                  1        1     1         1     
the three guardians                                                         1        1     1         1     
the train                                                                   5        5     5         5     
the villager                                                                2        2     2         2     
theater troupe                                                              1        1     1         1     
theater troupe leader                                                       1        1     1         1     
theater troupe member                                                       1        1     1         1     
thief                                                                       3        3     3         3     
three-pronged lemon child                                                   1        1     1         1     
tiffany                                                                     44       44    44        44    
tiffany and jake                                                            1        1     1         1     
tiffany, gareth and the flying lettuce brothers                             1        1     1         1     
tim                                                                         3        3     3         3     
time card                                                                   1        1     1         1     
tiny goblin                                                                 4        4     4         4     
tiny manticore                                                              14       14    14        14    
toad                                                                        2        2     2         2     
toast princess                                                              1        1     1         1     
tonya                                                                       10       10    10        10    
torcho                                                                      7        7     7         7     
toronto                                                                     22       22    22        22    
toughy                                                                      4        4     4         4     
trami                                                                       10       10    10        10    
trami & tromo                                                               1        1     1         1     
transparent finn                                                            2        2     2         2     
tree                                                                        1        1     1         1     
tree spirit                                                                 3        3     3         3     
tree stump                                                                  5        5     5         5     
tree trunks                                                                 216      216   216       216   
tree trunks                                                                 1        1     1         1     
tree trunks & mr. pig                                                       2        2     2         2     
tree trunks' mother                                                         2        2     2         2     
tree witch                                                                  34       34    34        34    
tree witch'                                                                 1        1     1         1     
triumphus                                                                   1        1     1         1     
tromo                                                                       13       13    13        13    
trudy                                                                       1        1     1         1     
tuber                                                                       4        4     4         4     
turtle king                                                                 1        1     1         1     
turtle princess                                                             27       27    27        27    
tv                                                                          1        1     1         1     
two other koalas                                                            1        1     1         1     
two-headed demon                                                            2        2     2         2     
two-headed thief head 1                                                     1        1     1         1     
two-headed thief head 2                                                     2        2     2         2     
ugly monster                                                                5        5     5         5     
unknown                                                                     3        3     3         3     
unknown person                                                              1        1     1         1     
upside-down ice cream cone                                                  2        2     2         2     
urchin                                                                      3        3     3         3     
ursula                                                                      3        3     3         3     
vampire king                                                                31       31    31        31    
various patients                                                            1        1     1         1     
verus                                                                       1        1     1         1     
video game                                                                  1        1     1         1     
viola                                                                       4        4     4         4     
voice                                                                       9        9     9         9     
void caster                                                                 1        1     1         1     
vulture                                                                     2        2     2         2     
waiter                                                                      2        2     2         2     
warrior princess                                                            1        1     1         1     
weird punishment demon                                                      2        2     2         2     
well                                                                        1        1     1         1     
wendy                                                                       9        9     9         9     
wendy, booboo and georgy                                                    1        1     1         1     
wheel                                                                       2        2     2         2     
whisper dan                                                                 2        2     2         2     
why-wolf                                                                    4        4     4         4     
wildberry guard #1                                                          2        2     2         2     
wildberry guard #2                                                          1        1     1         1     
wildberry kid                                                               5        5     5         5     
wildberry kids                                                              1        1     1         1     
wildberry people                                                            2        2     2         2     
wildberry princess                                                          41       41    41        41    
wildberry princess [on tape]                                                1        1     1         1     
window                                                                      1        1     1         1     
winged zombies                                                              1        1     1         1     
wise man 1                                                                  4        4     4         4     
witch                                                                       25       25    25        25    
witch [in jake's memory]                                                    1        1     1         1     
wizard bill                                                                 1        1     1         1     
wizard policeman                                                            8        8     8         8     
wizard thief                                                                1        1     1         1     
wizrd policeman                                                             1        1     1         1     
wolf                                                                        2        2     2         2     
wolf of fire                                                                3        3     3         3     
woman                                                                       3        3     3         3     
woman behind counter                                                        1        1     1         1     
woman in movie                                                              1        1     1         1     
woobeewoo                                                                   5        5     5         5     
woobeewoo (in flashback)                                                    3        3     3         3     
woobeewoo elder                                                             5        5     5         5     
woobeewoo on right                                                          1        1     1         1     
worker                                                                      5        5     5         5     
workers                                                                     7        7     7         7     
worm                                                                        1        1     1         1     
worm with glasses                                                           1        1     1         1     
wormo                                                                       8        8     8         8     
worms                                                                       1        1     1         1     
wyatt                                                                       15       15    15        15    
xergiok                                                                     65       65    65        65    
yellow bmo                                                                  1        1     1         1     
young billy                                                                 1        1     1         1     
young girl in audience                                                      1        1     1         1     
young marceline                                                             4        4     4         4     
zap                                                                         4        4     4         4     
zombie                                                                      1        1     1         1     
zombie cinnamon bun                                                         1        1     1         1     
zombie love heart                                                           1        1     1         1     
zombie mr. cream puff                                                       2        2     2         2     
